ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GLOBALEVENTID,SOURCEURL,SQLDATE,company,industry,sentiment,title,topic,domain
NL,Netherlands,52.5,5.75,499486221,http://www.techweekeurope.co.uk/cloud/cloud-management/accenture-acquires-crmwaypoint-cloud-agenda-183038,20160105,accenture,technology,,accenture acquires crmwaypoint cloud agenda 183038,cloud,www.techweekeurope.co.uk
US,"New York, United States",42.1497,-74.9384,499536473,http://www.marketwatch.com/story/talen-energy-selects-accenture-to-support-its-transition-2016-01-05,20160105,accenture,technology,,talen energy selects accenture to support its transition 2016 01 05,energy,www.marketwatch.com
CA,Canada,60.0,-95.0,499543663,http://www.marketwatch.com/story/celebrity-cruises-to-collaborate-with-accenture-to-bring-modern-luxury-brand-promise-to-its-digital-customer-experience-2016-01-05-815937,20160105,accenture,technology,,celebrity cruises to collaborate with accenture to bring modern luxury brand promise to its digital customer experience 2016 01 05 815937,digital,www.marketwatch.com
EI,Ireland,53.0,-8.0,499578875,http://www.cbronline.com/news/enterprise-it/it-services/accenture-specsavers-deal-to-take-buy-one-get-one-free-digital-4767929,20160105,accenture,technology,,accenture specsavers deal to take buy one get one free digital 4767929,digital,www.cbronline.com
NL,Netherlands,52.5,5.75,499606240,http://www.zacks.com/stock/news/202848/accenture-boosts-cloud-portfolio-with-crmwaypoint-buyout,20160105,accenture,technology,,accenture boosts cloud portfolio with crmwaypoint buyout,cloud,www.zacks.com
US,"Chicago, Illinois, United States",41.85,-87.6501,499837959,http://www.marketwatch.com/story/us-hospitals-engaging-only-2-percent-of-patients-via-mobile-apps-putting-as-much-as-100-million-in-annual-revenue-per-hospital-at-risk-accenture-finds-2016-01-06,20160106,accenture,health,,us hospitals engaging only 2 percent of patients via mobile apps putting as much as 100 million in annual revenue per hospital at risk accenture finds 2016 01 06,hospital,www.marketwatch.com
US,United States,38.0,-97.0,500210631,http://www.healthcareitnews.com/content/poor-healthcare-apps-could-cost-hospitals-100-million-year-accenture-says,20160107,accenture,health,,poor healthcare apps could cost hospitals 100 million year accenture says,hospital,www.healthcareitnews.com
,,,,500614808,https://paymentweek.com/2016-1-8-global-insurance-giant-accenture-joins-the-blockchain-bandwagon-9335/,20160109,accenture,technology,,2016 1 8 global insurance giant accenture joins the blockchain bandwagon 9335,insurance,paymentweek.com
GM,Germany,51.0,9.0,501272451,http://www.v3.co.uk/v3-uk/news/2441275/sap-partners-with-accenture-to-boost-s-4hana-cloud-software-adoption,20160111,accenture,technology,,sap partners with accenture to boost s 4hana cloud software adoption,cloud,www.v3.co.uk
US,"Texas, United States",31.106,-97.6475,501935400,http://www.finanznachrichten.de/nachrichten-2016-01/36129230-microsoft-hp-inc-idc-and-accenture-join-the-channel-data-management-transformation-manufacturers-and-their-channel-partners-profit-from-data-dr-256.htm,20160113,accenture,technology,,36129230 microsoft hp inc idc and accenture join the channel data management transformation manufacturers and their channel partners profit from data dr 256.htm,data,www.finanznachrichten.de
UK,United Kingdom,54.0,-2.0,502195240,http://www.infosecurity-magazine.com/news/accenture-firms-improve-digital/,20160114,accenture,technology,,accenture firms improve digital,digital,www.infosecurity-magazine.com
UK,"London, London, City of, United Kingdom",51.5,-0.116667,502502027,https://www.equities.com/news/accenture-and-stemettes-to-bring-together-1-800-girls-across-uk-and-ireland-to-create-digital-apps-and-inspire-future-careers,20160115,accenture,technology,,accenture and stemettes to bring together 1 800 girls across uk and ireland to create digital apps and inspire future careers,digital,www.equities.com
GM,Germany,51.0,9.0,503288700,http://tech.firstpost.com/news-analysis/how-businesses-put-consumer-data-at-risk-accenture-report-295645.html,20160118,accenture,technology,,how businesses put consumer data at risk accenture report 295645.html,data,tech.firstpost.com
FR,France,46.0,2.0,503288701,http://www.indiainfoline.com/article/news-business/businesses%E2%80%99-use-of-personal-data-at-risk-accenture-report-warns-116011800472_1.html,20160118,accenture,technology,,businesses’ use of personal data at risk accenture report warns 116011800472 1.html,data,www.indiainfoline.com
UK,United Kingdom,54.0,-2.0,503784602,http://www.businessinsider.com.au/accenture-strategy-ceo-mark-knickrehm-davos-interview-uk-tech-and-digital-disruption-2016-1,20160119,accenture,technology,,accenture strategy ceo mark knickrehm davos interview uk tech and digital disruption 2016 1,digital,www.businessinsider.com.au
US,"Chicago, Illinois, United States",41.85,-87.6501,503962073,http://www.marketwatch.com/story/eight-million-us-employees-enrolled-in-private-health-insurance-exchanges-for-2016-benefits-according-to-accenture-2016-01-20,20160120,accenture,technology,,eight million us employees enrolled in private health insurance exchanges for 2016 benefits according to accenture 2016 01 20,insurance,www.marketwatch.com
,,,,504058951,http://www.streetregister.com/profit-takers-stepping-in-to-sell-these-stocks-nextera-energy-inc-nee-accenture-plc-acn-pepsico-inc-pep/2514401/,20160120,accenture,technology,,profit takers stepping in to sell these stocks nextera energy inc nee accenture plc acn pepsico inc pep,energy,www.streetregister.com
FR,France,46.0,2.0,504313777,http://www.channelworld.in/media-releases/accenture-report:-business-use-of-personal-data-at-risk-,20160121,accenture,technology,,accenture report: business use of personal data at risk ,data,www.channelworld.in
EI,Ireland,53.0,-8.0,504644958,http://www.irishmirror.ie/news/irish-news/consulting-firm-accenture-announce-250-7223668,20160122,accenture,technology,,consulting firm accenture announce 250 7223668,consulting,www.irishmirror.ie
,,,,506842119,http://www.benefitscanada.com/uncategorized/accenture-hosts-mental-health-webinar-for-staff-76394,20160129,accenture,health,,accenture hosts mental health webinar for staff 76394,health,www.benefitscanada.com
