,GLOBALEVENTID,SQLDATE,SOURCEURL,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FullName,ActionGeo_CountryCode,company,industry,topic,sentiment,title
0,426850921,20150420,http://www.sourcingfocus.com/site/newsitem/accenture_lands_966m_us_education_contract/,,,,,accenture,,,,
1,426858486,20150420,http://www.virtual-strategy.com/2015/04/20/deloitte-recognizes-rightstep%E2%84%A2-innovation-prize-finalists-focused-advancing-education-out,,,,,deloitte,,,,
2,426880484,20150420,http://www.thestreet.com/story/13117912/1/university-of-southern-california-takes-top-honors-at-deloitte-foundation-cyber-threat-competition.html,31.106,-97.6475,"Texas, United States",US,deloitte,,,,
3,426869755,20150420,http://bits.blogs.nytimes.com/2015/04/20/daily-report-ibm-venture-with-china-stirs-concerns/,38.0,-97.0,United States,US,ibm,,,,
4,426897398,20150420,http://www.wallstreetscope.com/morning-active-stocks-encana-corporation-eca-united-states-steel-corp-x-international-business-machines-corporation-ibm-ariad-pharmaceuticals-inc-aria-horizon-pharma-plc-hznp/25247049/,38.0,-97.0,United States,US,ibm,,,,
5,426900230,20150420,http://www.gaystarnews.com/article/ibm-louisiana%E2%80%99s-jindal-religious-freedom-bill-%E2%80%98-antithetical-our-company%E2%80%99s-values%E2%80%99200415,31.1801,-91.8749,"Louisiana, United States",US,ibm,,,,
6,426918493,20150420,http://www.thestreet.com/story/13118194/1/the-confidential-insurgent-is-ibm-a-realistic-target-for-activists.html,35.0,105.0,China,CH,ibm,,,,
7,426923439,20150420,http://www.theglobaldispatch.com/louisiana-gov-bobby-jindal-fighting-attacks-on-religious-freedom-bill-ibm-says-no-41133/,30.4507,-91.1545,"Baton Rouge, Louisiana, United States",US,ibm,,,,
8,426927492,20150420,http://www.ibm.com/smarterplanet/us/en/innovation_explanations/article/michael_dixon.html,25.2522,55.28,"Dubai, Dubayy, United Arab Emirates",AE,ibm,,,,
9,426936436,20150420,http://www.benzinga.com/analyst-ratings/analyst-color/15/04/5423055/what-deutsche-bank-is-watching-at-ibm,,,,,ibm,,,,
10,426945978,20150420,http://learnbonds.com/international-business-machines-corp-nyseibm-caves-in-to-chinese-pressure/117589/,39.9289,116.388,"Beijing, Beijing, China",CH,ibm,,,,
11,426959082,20150321,http://www.cruxnow.com/life/2015/04/20/exec-tells-mccrory-ibm-opposes-nc-religious-freedom-bill/,35.7721,-78.6386,"Raleigh, North Carolina, United States",US,ibm,,,,
12,426969005,20150420,http://blogs.wsj.com/digits/2015/04/20/ibm-earnings-what-to-watch-4/,,,,,ibm,,,,
13,426991372,20140420,http://finance.yahoo.com/news/mixed-bag-for-big-blue--ibm-q1-profits-top-views--but-sales-lag-201502366.html,,,,,ibm,,,,
14,427000682,20150420,http://www.nytimes.com/2015/04/21/technology/ibm-first-quarter-earnings-top-wall-st-expectations.html,38.0,-97.0,United States,US,ibm,,,,
15,427000704,20150420,http://www.businessinsider.com/mainframe-saves-ibm-quarter-2015-4,,,,,ibm,,,,
16,427003069,20150420,http://www.businessinsider.com/ibm-were-killing-it-in-new-areas-2015-4,,,,,ibm,,,,
17,427006413,20150420,http://jutiagroup.com/20150420-market-update-international-business-machines-corporation-nyseibm-ibm-stock-gaining-in-after-hours-trading-today-following-earnings-beat/,42.0584,-73.9093,"Tivoli, New York, United States",US,ibm,,,,
18,427012745,20150420,http://www.ibm.com/smarterplanet/us/en/innovation_explanations/article/rajasekar_krishnamurthy.html,1.0,32.0,Uganda,UG,ibm,,,,
19,426777398,20150420,http://money.livemint.com/news/company/news/lic-raises-stake-in-infosys-to-4-81--370032.aspx,20.0,77.0,India,IN,infosys,,,,
